"Analysis","Prediction","Step3a","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: TimeOfManipulation","Increase","Imagery","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.124",NA,"0.725"
"Delayed post","Increase","Imagery","Intrusion symptoms",NA,"yes","63","1","1","1","-0.66"," [-1.43, 0.11]",NA,"-1.691580","0.090726"
"Immediate post","Increase","Imagery","Intrusion symptoms",NA,"yes","335","4","4","6","-0.52"," [-0.80, -0.24]",NA,"-3.604925","0.000312"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.652",NA,"0.448"
"Delayed post","Increase","Other","Intrusion symptoms",NA,"no","54","1","1","1","0.26"," [-0.62, 1.15]",NA,"0.583899","0.559288"
"Immediate post","Increase","Other","Intrusion symptoms",NA,"no","275","5","5","7","-0.11"," [-0.42, 0.20]",NA,"-0.693411","0.488052"
"Peri","Increase","Other","Intrusion symptoms",NA,"no","65","1","1","1","0.57"," [-0.29, 1.42]",NA,"1.305135","0.191847"
"Pre","Increase","Other","Intrusion symptoms",NA,"no","113","1","1","1","-0.15"," [-0.90, 0.60]",NA,"-0.387629","0.698290"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.652",NA,"0.448"
"Delayed post","Increase","Other","Intrusion symptoms",NA,"yes","54","1","1","1","0.26"," [-0.62, 1.15]",NA,"0.583899","0.559288"
"Immediate post","Increase","Other","Intrusion symptoms",NA,"yes","275","5","5","7","-0.11"," [-0.42, 0.20]",NA,"-0.693411","0.488052"
"Peri","Increase","Other","Intrusion symptoms",NA,"yes","65","1","1","1","0.57"," [-0.29, 1.42]",NA,"1.305135","0.191847"
"Pre","Increase","Other","Intrusion symptoms",NA,"yes","113","1","1","1","-0.15"," [-0.90, 0.60]",NA,"-0.387629","0.698290"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.214",NA,"0.898"
"Immediate post","Increase","Verbal","Intrusion symptoms",NA,"no","506","4","5","5","-0.26"," [-1.00, 0.48]",NA,"-0.691435","0.489292"
"Peri","Increase","Verbal","Intrusion symptoms",NA,"no","426","4","4","4","-0.14"," [-0.97, 0.68]",NA,"-0.340281","0.733645"
"Pre","Increase","Verbal","Intrusion symptoms",NA,"no","293","1","1","1","0.14"," [-1.43, 1.71]",NA,"0.177257","0.859307"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"3.559",NA,"0.169"
"Immediate post","Increase","Verbal","Intrusion symptoms",NA,"yes","461","3","4","4","0.23"," [0.01, 0.45]",NA,"2.018626","0.043526"
"Peri","Increase","Verbal","Intrusion symptoms",NA,"yes","426","4","4","4","-0.10"," [-0.37, 0.17]",NA,"-0.735189","0.462224"
"Pre","Increase","Verbal","Intrusion symptoms",NA,"yes","293","1","1","1","0.14"," [-0.09, 0.37]",NA,"1.208750","0.226759"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.461",NA,"0.794"
"Delayed post","Unspecified","Imagery","Intrusion symptoms",NA,"no","126","2","2","3","-0.02"," [-0.40, 0.35]",NA,"-0.127944","0.898193"
"Immediate post","Unspecified","Imagery","Intrusion symptoms",NA,"no","397","5","5","5","0.12"," [-0.13, 0.38]",NA,"0.952751","0.340716"
"Peri","Unspecified","Imagery","Intrusion symptoms",NA,"no","211","1","1","1","0.02"," [-0.45, 0.49]",NA,"0.078289","0.937598"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.461",NA,"0.794"
"Delayed post","Unspecified","Imagery","Intrusion symptoms",NA,"yes","126","2","2","3","-0.02"," [-0.40, 0.35]",NA,"-0.127944","0.898193"
"Immediate post","Unspecified","Imagery","Intrusion symptoms",NA,"yes","397","5","5","5","0.12"," [-0.13, 0.38]",NA,"0.952751","0.340716"
"Peri","Unspecified","Imagery","Intrusion symptoms",NA,"yes","211","1","1","1","0.02"," [-0.45, 0.49]",NA,"0.078289","0.937598"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.848",NA,"0.357"
"Immediate post","Unspecified","Other","Intrusion symptoms",NA,"no","120","1","1","3","0.35"," [0.02, 0.68]",NA,"2.067125","0.038722"
"Pre","Unspecified","Other","Intrusion symptoms",NA,"no","54","1","1","1","0.03"," [-0.55, 0.62]",NA,"0.108425","0.913658"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.848",NA,"0.357"
"Immediate post","Unspecified","Other","Intrusion symptoms",NA,"yes","120","1","1","3","0.35"," [0.02, 0.68]",NA,"2.067125","0.038722"
"Pre","Unspecified","Other","Intrusion symptoms",NA,"yes","54","1","1","1","0.03"," [-0.55, 0.62]",NA,"0.108425","0.913658"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"3.095",NA,"0.377"
"Delayed post","Unspecified","Verbal","Intrusion symptoms",NA,"no","86","1","1","1","-0.03"," [-0.99, 0.93]",NA,"-0.061035","0.951331"
"Immediate post","Unspecified","Verbal","Intrusion symptoms",NA,"no","117","2","2","2","0.51"," [-0.23, 1.25]",NA,"1.347760","0.177735"
"Peri","Unspecified","Verbal","Intrusion symptoms",NA,"no","196","2","2","2","0.16"," [-0.51, 0.83]",NA,"0.475332","0.634550"
"Pre","Unspecified","Verbal","Intrusion symptoms",NA,"no","85","1","1","2","-0.50"," [-1.37, 0.37]",NA,"-1.123211","0.261348"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.358",NA,"0.836"
"Delayed post","Unspecified","Verbal","Intrusion symptoms",NA,"yes","86","1","1","1","-0.03"," [-0.55, 0.49]",NA,"-0.114006","0.909233"
"Immediate post","Unspecified","Verbal","Intrusion symptoms",NA,"yes","72","1","1","1","0.04"," [-0.53, 0.60]",NA,"0.130480","0.896187"
"Peri","Unspecified","Verbal","Intrusion symptoms",NA,"yes","196","2","2","2","0.15"," [-0.19, 0.49]",NA,"0.858171","0.390798"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"3.669",NA,"0.160"
"Immediate post","All","Emotion","Intrusion-related distress",NA,"no","521","6","6","9","-0.13"," [-0.49, 0.23]",NA,"-0.701239","0.483154"
"Peri","All","Emotion","Intrusion-related distress",NA,"no","145","2","2","6","-0.02"," [-0.69, 0.65]",NA,"-0.058638","0.953240"
"Pre","All","Emotion","Intrusion-related distress",NA,"no","390","6","6","11","0.27"," [-0.10, 0.63]",NA,"1.435164","0.151240"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"3.934",NA,"0.140"
"Immediate post","All","Emotion","Intrusion-related distress",NA,"yes","482","5","5","8","0.03"," [-0.23, 0.29]",NA,"0.213087","0.831259"
"Peri","All","Emotion","Intrusion-related distress",NA,"yes","145","2","2","6","-0.02"," [-0.44, 0.39]",NA,"-0.116724","0.907079"
"Pre","All","Emotion","Intrusion-related distress",NA,"yes","390","6","6","11","0.33"," [0.08, 0.58]",NA,"2.541061","0.011052"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.888",NA,"0.596"
"Delayed post","All","Imagery","Intrusion-related distress",NA,"no","173","1","1","3","-0.11"," [-0.58, 0.37]",NA,"-0.445646","0.655853"
"Immediate post","All","Imagery","Intrusion-related distress",NA,"no","1448","15","16","25","0.12"," [-0.03, 0.27]",NA,"1.554822","0.119988"
"Peri","All","Imagery","Intrusion-related distress",NA,"no","262","2","2","2","-0.15"," [-0.64, 0.34]",NA,"-0.615951","0.537927"
"Pre","All","Imagery","Intrusion-related distress",NA,"no","64","1","1","1","-0.05"," [-0.69, 0.59]",NA,"-0.143241","0.886100"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.616",NA,"0.656"
"Delayed post","All","Imagery","Intrusion-related distress",NA,"yes","173","1","1","3","-0.11"," [-0.54, 0.33]",NA,"-0.488666","0.625078"
"Immediate post","All","Imagery","Intrusion-related distress",NA,"yes","1382","14","15","24","0.09"," [-0.06, 0.23]",NA,"1.178823","0.238468"
"Peri","All","Imagery","Intrusion-related distress",NA,"yes","262","2","2","2","-0.16"," [-0.63, 0.31]",NA,"-0.659300","0.509703"
"Pre","All","Imagery","Intrusion-related distress",NA,"yes","64","1","1","1","-0.05"," [-0.66, 0.56]",NA,"-0.150383","0.880462"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"9.019",NA,"0.029"
"Delayed post","All","Other","Intrusion-related distress",NA,"no","181","1","1","2","-0.07"," [-0.28, 0.14]",NA,"-0.657059","0.511143"
"Immediate post","All","Other","Intrusion-related distress",NA,"no","872","11","12","17","0.19"," [0.07, 0.31]",NA,"3.033237","0.002419"
"Peri","All","Other","Intrusion-related distress",NA,"no","176","3","3","4","-0.15"," [-0.47, 0.17]",NA,"-0.922818","0.356102"
"Pre","All","Other","Intrusion-related distress",NA,"no","167","2","2","3","-0.12"," [-0.39, 0.16]",NA,"-0.820575","0.411889"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"9.019",NA,"0.029"
"Delayed post","All","Other","Intrusion-related distress",NA,"yes","181","1","1","2","-0.07"," [-0.28, 0.14]",NA,"-0.657059","0.511143"
"Immediate post","All","Other","Intrusion-related distress",NA,"yes","872","11","12","17","0.19"," [0.07, 0.31]",NA,"3.033237","0.002419"
"Peri","All","Other","Intrusion-related distress",NA,"yes","176","3","3","4","-0.15"," [-0.47, 0.17]",NA,"-0.922818","0.356102"
"Pre","All","Other","Intrusion-related distress",NA,"yes","167","2","2","3","-0.12"," [-0.39, 0.16]",NA,"-0.820575","0.411889"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"6.425",NA,"0.040"
"Immediate + delayed post","All","Verbal","Intrusion-related distress",NA,"no","139","2","2","4","-0.41"," [-0.71, -0.11]",NA,"-2.650862","0.008029"
"Immediate post","All","Verbal","Intrusion-related distress",NA,"no","468","6","7","22","-0.04"," [-0.18, 0.10]",NA,"-0.519365","0.603506"
"Peri","All","Verbal","Intrusion-related distress",NA,"no","424","4","4","5","0.09"," [-0.17, 0.35]",NA,"0.650613","0.515296"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.971",NA,"0.226"
"Immediate + delayed post","All","Verbal","Intrusion-related distress",NA,"yes","139","2","2","3","-0.30"," [-0.66, 0.05]",NA,"-1.681438","0.092678"
"Immediate post","All","Verbal","Intrusion-related distress",NA,"yes","468","6","7","22","-0.04"," [-0.18, 0.11]",NA,"-0.489234","0.624676"
"Peri","All","Verbal","Intrusion-related distress",NA,"yes","424","4","4","5","0.08"," [-0.18, 0.35]",NA,"0.617331","0.537017"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"18.001",NA,"0.000"
"Immediate post","Decrease","Emotion","Intrusion-related distress",NA,"no","341","3","3","4","-0.09"," [-0.30, 0.13]",NA,"-0.800749","0.423277"
"Peri","Decrease","Emotion","Intrusion-related distress",NA,"no","145","2","2","3","0.01"," [-0.35, 0.38]",NA,"0.073195","0.941651"
"Pre","Decrease","Emotion","Intrusion-related distress",NA,"no","246","4","4","6","0.60"," [0.35, 0.84]",NA,"4.782994","0.000002"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"18.001",NA,"0.000"
"Immediate post","Decrease","Emotion","Intrusion-related distress",NA,"yes","341","3","3","4","-0.09"," [-0.30, 0.13]",NA,"-0.800749","0.423277"
"Peri","Decrease","Emotion","Intrusion-related distress",NA,"yes","145","2","2","3","0.01"," [-0.35, 0.38]",NA,"0.073195","0.941651"
"Pre","Decrease","Emotion","Intrusion-related distress",NA,"yes","246","4","4","6","0.60"," [0.35, 0.84]",NA,"4.782994","0.000002"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.319",NA,"0.725"
"Delayed post","Decrease","Imagery","Intrusion-related distress",NA,"no","173","1","1","3","-0.11"," [-0.65, 0.44]",NA,"-0.390191","0.696396"
"Immediate post","Decrease","Imagery","Intrusion-related distress",NA,"no","886","9","10","13","0.19"," [-0.02, 0.41]",NA,"1.765646","0.077455"
"Peri","Decrease","Imagery","Intrusion-related distress",NA,"no","51","1","1","1","0.10"," [-0.73, 0.93]",NA,"0.229727","0.818304"
"Pre","Decrease","Imagery","Intrusion-related distress",NA,"no","64","1","1","1","-0.05"," [-0.74, 0.65]",NA,"-0.132555","0.894546"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.046",NA,"0.790"
"Delayed post","Decrease","Imagery","Intrusion-related distress",NA,"yes","173","1","1","3","-0.11"," [-0.59, 0.38]",NA,"-0.437759","0.661561"
"Immediate post","Decrease","Imagery","Intrusion-related distress",NA,"yes","820","8","9","12","0.14"," [-0.07, 0.35]",NA,"1.329365","0.183728"
"Peri","Decrease","Imagery","Intrusion-related distress",NA,"yes","51","1","1","1","0.10"," [-0.70, 0.89]",NA,"0.240518","0.809929"
"Pre","Decrease","Imagery","Intrusion-related distress",NA,"yes","64","1","1","1","-0.05"," [-0.69, 0.60]",NA,"-0.141827","0.887216"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"5.886",NA,"0.053"
"Delayed post","Decrease","Other","Intrusion-related distress",NA,"no","181","1","1","2","-0.07"," [-0.28, 0.14]",NA,"-0.657059","0.511143"
"Immediate post","Decrease","Other","Intrusion-related distress",NA,"no","660","8","9","11","0.22"," [0.07, 0.37]",NA,"2.888612","0.003869"
"Pre","Decrease","Other","Intrusion-related distress",NA,"no","113","1","1","1","-0.12"," [-0.57, 0.34]",NA,"-0.496390","0.619619"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"5.886",NA,"0.053"
"Delayed post","Decrease","Other","Intrusion-related distress",NA,"yes","181","1","1","2","-0.07"," [-0.28, 0.14]",NA,"-0.657059","0.511143"
"Immediate post","Decrease","Other","Intrusion-related distress",NA,"yes","660","8","9","11","0.22"," [0.07, 0.37]",NA,"2.888612","0.003869"
"Pre","Decrease","Other","Intrusion-related distress",NA,"yes","113","1","1","1","-0.12"," [-0.57, 0.34]",NA,"-0.496390","0.619619"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.766",NA,"0.414"
"Immediate post","Increase","Emotion","Intrusion-related distress",NA,"no","120","2","2","3","-0.75"," [-1.64, 0.13]",NA,"-1.670388","0.094843"
"Peri","Increase","Emotion","Intrusion-related distress",NA,"no","145","2","2","3","-0.07"," [-1.10, 0.96]",NA,"-0.137933","0.890294"
"Pre","Increase","Emotion","Intrusion-related distress",NA,"no","144","2","2","4","-0.47"," [-1.34, 0.40]",NA,"-1.055265","0.291304"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.159",NA,"0.924"
"Immediate post","Increase","Emotion","Intrusion-related distress",NA,"yes","81","1","1","2","-0.15"," [-0.71, 0.40]",NA,"-0.544431","0.586145"
"Peri","Increase","Emotion","Intrusion-related distress",NA,"yes","145","2","2","3","-0.08"," [-0.57, 0.42]",NA,"-0.309678","0.756806"
"Pre","Increase","Emotion","Intrusion-related distress",NA,"yes","144","2","2","4","-0.05"," [-0.49, 0.38]",NA,"-0.230677","0.817566"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.065",NA,"0.968"
"Immediate post","Increase","Other","Intrusion-related distress",NA,"no","166","3","3","3","-0.18"," [-0.61, 0.25]",NA,"-0.827304","0.408065"
"Peri","Increase","Other","Intrusion-related distress",NA,"no","176","3","3","4","-0.10"," [-0.52, 0.31]",NA,"-0.486737","0.626445"
"Pre","Increase","Other","Intrusion-related distress",NA,"no","113","1","1","1","-0.15"," [-0.79, 0.49]",NA,"-0.463693","0.642868"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.065",NA,"0.968"
"Immediate post","Increase","Other","Intrusion-related distress",NA,"yes","166","3","3","3","-0.18"," [-0.61, 0.25]",NA,"-0.827304","0.408065"
"Peri","Increase","Other","Intrusion-related distress",NA,"yes","176","3","3","4","-0.10"," [-0.52, 0.31]",NA,"-0.486737","0.626445"
"Pre","Increase","Other","Intrusion-related distress",NA,"yes","113","1","1","1","-0.15"," [-0.79, 0.49]",NA,"-0.463693","0.642868"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"5.247",NA,"0.073"
"Immediate + delayed post","Increase","Verbal","Intrusion-related distress",NA,"no","139","2","2","4","-0.41"," [-0.67, -0.15]",NA,"-3.131822","0.001737"
"Immediate post","Increase","Verbal","Intrusion-related distress",NA,"no","116","1","2","10","-0.09"," [-0.25, 0.07]",NA,"-1.089018","0.276146"
"Peri","Increase","Verbal","Intrusion-related distress",NA,"no","424","4","4","4","-0.03"," [-0.29, 0.23]",NA,"-0.226789","0.820588"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"5.247",NA,"0.073"
"Immediate + delayed post","Increase","Verbal","Intrusion-related distress",NA,"yes","139","2","2","4","-0.41"," [-0.67, -0.15]",NA,"-3.131822","0.001737"
"Immediate post","Increase","Verbal","Intrusion-related distress",NA,"yes","116","1","2","10","-0.09"," [-0.25, 0.07]",NA,"-1.089018","0.276146"
"Peri","Increase","Verbal","Intrusion-related distress",NA,"yes","424","4","4","4","-0.03"," [-0.29, 0.23]",NA,"-0.226789","0.820588"
"Moderation Analysis: TimeOfManipulation","Unspecified","Emotion","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.448",NA,"0.503"
"Immediate post","Unspecified","Emotion","Intrusion-related distress",NA,"no","60","1","1","2","0.31"," [-0.13, 0.76]",NA,"1.382460","0.166830"
"Pre","Unspecified","Emotion","Intrusion-related distress",NA,"no","99","1","1","1","0.56"," [-0.01, 1.14]",NA,"1.919395","0.054934"
"Moderation Analysis: TimeOfManipulation","Unspecified","Emotion","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.448",NA,"0.503"
"Immediate post","Unspecified","Emotion","Intrusion-related distress",NA,"yes","60","1","1","2","0.31"," [-0.13, 0.76]",NA,"1.382460","0.166830"
"Pre","Unspecified","Emotion","Intrusion-related distress",NA,"yes","99","1","1","1","0.56"," [-0.01, 1.14]",NA,"1.919395","0.054934"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.997",NA,"0.318"
"Immediate post","Unspecified","Imagery","Intrusion-related distress",NA,"no","720","8","8","8","0.05"," [-0.21, 0.32]",NA,"0.384186","0.700841"
"Peri","Unspecified","Imagery","Intrusion-related distress",NA,"no","211","1","1","1","-0.31"," [-0.98, 0.35]",NA,"-0.921565","0.356756"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.997",NA,"0.318"
"Immediate post","Unspecified","Imagery","Intrusion-related distress",NA,"yes","720","8","8","8","0.05"," [-0.21, 0.32]",NA,"0.384186","0.700841"
"Peri","Unspecified","Imagery","Intrusion-related distress",NA,"yes","211","1","1","1","-0.31"," [-0.98, 0.35]",NA,"-0.921565","0.356756"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.833",NA,"0.176"
"Immediate post","Unspecified","Other","Intrusion-related distress",NA,"no","120","1","1","3","0.36"," [0.06, 0.66]",NA,"2.347514","0.018899"
"Pre","Unspecified","Other","Intrusion-related distress",NA,"no","54","1","1","1","-0.06"," [-0.60, 0.47]",NA,"-0.236249","0.813239"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.833",NA,"0.176"
"Immediate post","Unspecified","Other","Intrusion-related distress",NA,"yes","120","1","1","3","0.36"," [0.06, 0.66]",NA,"2.347514","0.018899"
"Pre","Unspecified","Other","Intrusion-related distress",NA,"yes","54","1","1","1","-0.06"," [-0.60, 0.47]",NA,"-0.236249","0.813239"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"8.516",NA,"0.004"
"Immediate post","Unspecified","Verbal","Intrusion-related distress",NA,"no","163","2","2","3","-0.26"," [-0.58, 0.06]",NA,"-1.592300","0.111317"
"Peri","Unspecified","Verbal","Intrusion-related distress",NA,"no","110","1","1","1","0.59"," [0.12, 1.06]",NA,"2.446434","0.014428"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"8.516",NA,"0.004"
"Immediate post","Unspecified","Verbal","Intrusion-related distress",NA,"yes","163","2","2","3","-0.26"," [-0.58, 0.06]",NA,"-1.592300","0.111317"
"Peri","Unspecified","Verbal","Intrusion-related distress",NA,"yes","110","1","1","1","0.59"," [0.12, 1.06]",NA,"2.446434","0.014428"
